set_id,set_name,printed_total,last_updated,last_checked,cards_downloaded,set_complete
swsh45sv,Shining Fates Shiny Vault,122,2021/02/24 16:17:00,2025-10-13 07:51:52,0,False
swsh5,Battle Styles,163,2021/03/19 15:12:00,2025-10-13 07:51:52,163,False
swsh6,Chilling Reign,198,2021/06/18 12:12:00,2025-10-13 07:51:52,198,False
swsh7,Evolving Skies,203,2021/08/27 10:17:00,2025-10-13 07:51:52,203,False
cel25,Celebrations,25,2022/10/11 21:39:00,2025-10-13 07:51:52,25,False
cel25c,Celebrations: Classic Collection,25,2022/10/11 21:39:00,2025-10-13 07:51:52,0,False
mcd14,McDonald's Collection 2014,12,2022/10/10 15:12:00,2025-10-13 07:51:52,0,False
mcd15,McDonald's Collection 2015,12,2022/10/10 15:12:00,2025-10-13 07:51:52,0,False
mcd18,McDonald's Collection 2018,12,2022/10/10 15:12:00,2025-10-13 07:51:52,0,False
mcd17,McDonald's Collection 2017,12,2022/10/10 15:12:00,2025-10-13 07:51:52,0,False
mcd21,McDonald's Collection 2021,25,2022/10/10 15:12:00,2025-10-13 07:51:52,25,False
bp,Best of Game,9,2021/10/16 09:52:00,2025-10-13 07:51:52,9,False
swsh8,Fusion Strike,264,2021/11/12 07:32:00,2025-10-13 07:51:52,264,False
fut20,Pokémon Futsal Collection,5,2022/10/10 15:12:00,2025-10-13 07:51:52,5,False
tk1a,EX Trainer Kit Latias,10,2022/01/13 20:44:00,2025-10-13 07:51:52,10,False
tk1b,EX Trainer Kit Latios,10,2022/01/13 20:44:00,2025-10-13 07:51:52,10,False
tk2a,EX Trainer Kit 2 Plusle,12,2022/01/13 20:44:00,2025-10-13 07:51:52,12,False
tk2b,EX Trainer Kit 2 Minun,12,2022/01/13 20:44:00,2025-10-13 07:51:52,12,False
swsh9,Brilliant Stars,172,2022/02/23 09:45:00,2025-10-13 07:51:52,172,False
swsh9tg,Brilliant Stars Trainer Gallery,30,2022/02/23 09:45:00,2025-10-13 07:51:52,0,False
swsh10,Astral Radiance,189,2022/05/27 09:45:00,2025-10-13 07:51:52,189,False
swsh10tg,Astral Radiance Trainer Gallery,30,2022/05/27 09:45:00,2025-10-13 07:51:52,0,False
pgo,Pokémon GO,78,2022/07/06 17:07:00,2025-10-13 07:51:52,78,False
swsh11,Lost Origin,196,2022/09/09 13:45:00,2025-10-13 07:51:52,196,False
swsh11tg,Lost Origin Trainer Gallery,30,2022/09/09 13:45:00,2025-10-13 07:51:52,0,False
swsh12,Silver Tempest,195,2022/09/09 11:45:00,2025-10-13 07:51:52,195,False
swsh12tg,Silver Tempest Trainer Gallery,30,2022/11/11 11:45:00,2025-10-13 07:51:52,0,False
mcd22,McDonald's Collection 2022,15,2022/10/09 13:21:00,2025-10-13 07:51:52,15,False
swsh12pt5,Crown Zenith,159,2023/01/19 15:45:00,2025-10-13 07:51:52,159,False
swsh12pt5gg,Crown Zenith Galarian Gallery,70,2023/01/19 15:45:00,2025-10-13 07:51:52,0,False
sv1,Scarlet & Violet,198,2023/03/31 15:45:00,2025-10-13 07:51:52,198,False
svp,Scarlet & Violet Black Star Promos,215,2024/11/07 22:00:00,2025-10-13 07:51:52,199,False
sv2,Paldea Evolved,193,2023/06/09 15:00:00,2025-10-13 07:51:52,193,False
sve,Scarlet & Violet Energies,8,2023/07/20 15:45:00,2025-10-13 07:51:52,8,False
sv3,Obsidian Flames,197,2023/08/11 15:00:00,2025-10-13 07:51:52,197,False
sv3pt5,151,165,2023/09/22 15:00:00,2025-10-13 07:51:52,165,False
sv4,Paradox Rift,182,2023/11/03 15:00:00,2025-10-13 07:51:52,182,False
sv4pt5,Paldean Fates,91,2024/01/25 15:00:00,2025-10-13 07:51:52,91,False
sv5,Temporal Forces,162,2024/03/22 15:00:00,2025-10-13 07:51:52,162,False
sv6,Twilight Masquerade,167,2024/05/24 15:00:00,2025-10-13 07:51:52,167,False
sv6pt5,Shrouded Fable,64,2024/08/02 15:00:00,2025-10-13 07:51:52,64,False
sv7,Stellar Crown,142,2024/08/02 15:00:00,2025-10-13 07:51:52,142,False
sv8,Surging Sparks,191,2024/11/07 22:00:00,2025-10-13 07:51:52,191,False
sv8pt5,Prismatic Evolutions,131,2025/01/16 22:00:00,2025-10-13 07:51:52,131,False
sv9,Journey Together,159,2025/03/27 16:00:00,2025-10-13 07:51:52,159,False
sv10,Destined Rivals,182,2025/05/29 22:00:00,2025-10-13 07:51:52,182,False
zsv10pt5,Black Bolt,86,2025/07/17 15:00:00,2025-10-13 07:51:52,86,False
rsv10pt5,White Flare,86,2025/07/17 15:00:00,2025-10-13 07:51:52,86,False
me1,Mega Evolution,132,2025/09/25 15:00:00,2025-10-13 07:51:52,132,False
